participant_id,key,framing,action_type,question,value
1,Republican,Directionality,Truth Dependent,Action,-1
1,Republican,Directionality,Truth Dependent,Certainty,-3
2,AI,ThinkBelieve,Truth Dependent,Action,2
2,AI,ThinkBelieve,Truth Dependent,Certainty,-3
3,AI,Directionality,Symbolic,Action,-3
3,AI,Directionality,Symbolic,Certainty,-3
4,AI,BinaryProbable,Truth Dependent,Action,2
4,AI,BinaryProbable,Truth Dependent,Certainty,-3
5,Aliens,BinaryProbable,Symbolic,Action,-1
5,Aliens,BinaryProbable,Symbolic,Certainty,-3
6,Aliens,ThinkBelieve,Symbolic,Action,-3
6,Aliens,ThinkBelieve,Symbolic,Certainty,-3
7,Aliens,BinaryProbable,Truth Dependent,Action,0
7,Aliens,BinaryProbable,Truth Dependent,Certainty,2
8,Jesus,Directionality,Symbolic,Action,-2
8,Jesus,Directionality,Symbolic,Certainty,3
9,Republican,BinaryProbable,Symbolic,Action,-2
9,Republican,BinaryProbable,Symbolic,Certainty,-2
10,Jesus,ThinkBelieve,Symbolic,Action,-2
10,Jesus,ThinkBelieve,Symbolic,Certainty,-1
11,Aliens,Directionality,Truth Dependent,Action,-3
11,Aliens,Directionality,Truth Dependent,Certainty,-2
12,Aliens,ThinkBelieve,Truth Dependent,Action,-2
12,Aliens,ThinkBelieve,Truth Dependent,Certainty,-2
13,Jesus,ThinkBelieve,Symbolic,Action,-3
13,Jesus,ThinkBelieve,Symbolic,Certainty,-3
14,Jesus,Directionality,Truth Dependent,Action,2
14,Jesus,Directionality,Truth Dependent,Certainty,-2
15,AI,ThinkBelieve,Truth Dependent,Action,-2
15,AI,ThinkBelieve,Truth Dependent,Certainty,-2
16,AI,BinaryProbable,Truth Dependent,Action,3
16,AI,BinaryProbable,Truth Dependent,Certainty,3
17,Jesus,BinaryProbable,Symbolic,Action,-2
17,Jesus,BinaryProbable,Symbolic,Certainty,-2
18,Republican,BinaryProbable,Symbolic,Action,0
18,Republican,BinaryProbable,Symbolic,Certainty,0
19,Chickens,ThinkBelieve,Symbolic,Action,-2
19,Chickens,ThinkBelieve,Symbolic,Certainty,-2
20,Jesus,ThinkBelieve,Truth Dependent,Action,-2
20,Jesus,ThinkBelieve,Truth Dependent,Certainty,-2
21,Republican,BinaryProbable,Truth Dependent,Action,-2
21,Republican,BinaryProbable,Truth Dependent,Certainty,-2
22,Aliens,BinaryProbable,Symbolic,Action,-3
22,Aliens,BinaryProbable,Symbolic,Certainty,-2
23,Republican,Directionality,Symbolic,Action,-3
23,Republican,Directionality,Symbolic,Certainty,-3
24,Chickens,ThinkBelieve,Symbolic,Action,-2
24,Chickens,ThinkBelieve,Symbolic,Certainty,-2
25,Republican,Directionality,Truth Dependent,Action,1
25,Republican,Directionality,Truth Dependent,Certainty,0
26,AI,BinaryProbable,Truth Dependent,Action,1
26,AI,BinaryProbable,Truth Dependent,Certainty,-2
27,Chickens,ThinkBelieve,Symbolic,Action,-2
27,Chickens,ThinkBelieve,Symbolic,Certainty,-1
28,Republican,Directionality,Truth Dependent,Action,-1
28,Republican,Directionality,Truth Dependent,Certainty,0
29,Jesus,ThinkBelieve,Truth Dependent,Action,-2
29,Jesus,ThinkBelieve,Truth Dependent,Certainty,-2
30,Jesus,Directionality,Truth Dependent,Action,-1
30,Jesus,Directionality,Truth Dependent,Certainty,-2
31,Aliens,BinaryProbable,Symbolic,Action,-3
31,Aliens,BinaryProbable,Symbolic,Certainty,-3
32,Aliens,BinaryProbable,Truth Dependent,Action,-3
32,Aliens,BinaryProbable,Truth Dependent,Certainty,-3
33,Jesus,Directionality,Symbolic,Action,-2
33,Jesus,Directionality,Symbolic,Certainty,0
34,Republican,Directionality,Symbolic,Action,-3
34,Republican,Directionality,Symbolic,Certainty,-3
35,Aliens,BinaryProbable,Truth Dependent,Action,-2
35,Aliens,BinaryProbable,Truth Dependent,Certainty,-3
36,Republican,ThinkBelieve,Truth Dependent,Action,-1
36,Republican,ThinkBelieve,Truth Dependent,Certainty,-2
37,Aliens,BinaryProbable,Truth Dependent,Action,-2
37,Aliens,BinaryProbable,Truth Dependent,Certainty,-2
38,Chickens,Directionality,Symbolic,Action,0
38,Chickens,Directionality,Symbolic,Certainty,0
39,Aliens,BinaryProbable,Symbolic,Action,0
39,Aliens,BinaryProbable,Symbolic,Certainty,-1
40,Aliens,ThinkBelieve,Symbolic,Action,-1
40,Aliens,ThinkBelieve,Symbolic,Certainty,-1
41,Republican,ThinkBelieve,Truth Dependent,Action,-2
41,Republican,ThinkBelieve,Truth Dependent,Certainty,-2
42,Aliens,Directionality,Truth Dependent,Action,1
42,Aliens,Directionality,Truth Dependent,Certainty,-2
43,Jesus,Directionality,Symbolic,Action,-3
43,Jesus,Directionality,Symbolic,Certainty,-3
44,AI,ThinkBelieve,Symbolic,Action,0
44,AI,ThinkBelieve,Symbolic,Certainty,1
45,Aliens,Directionality,Truth Dependent,Action,-2
45,Aliens,Directionality,Truth Dependent,Certainty,-3
46,Jesus,ThinkBelieve,Truth Dependent,Action,-3
46,Jesus,ThinkBelieve,Truth Dependent,Certainty,-3
47,Chickens,Directionality,Symbolic,Action,-2
47,Chickens,Directionality,Symbolic,Certainty,-2
48,Chickens,BinaryProbable,Symbolic,Action,-2
48,Chickens,BinaryProbable,Symbolic,Certainty,3
49,Republican,BinaryProbable,Symbolic,Action,-3
49,Republican,BinaryProbable,Symbolic,Certainty,-3
50,Jesus,Directionality,Truth Dependent,Action,1
50,Jesus,Directionality,Truth Dependent,Certainty,-3
51,Aliens,ThinkBelieve,Symbolic,Action,-3
51,Aliens,ThinkBelieve,Symbolic,Certainty,-2
52,Jesus,BinaryProbable,Truth Dependent,Action,3
52,Jesus,BinaryProbable,Truth Dependent,Certainty,-3
53,Chickens,ThinkBelieve,Truth Dependent,Action,-2
53,Chickens,ThinkBelieve,Truth Dependent,Certainty,-3
54,Aliens,Directionality,Truth Dependent,Action,-1
54,Aliens,Directionality,Truth Dependent,Certainty,-3
55,AI,BinaryProbable,Symbolic,Action,-3
55,AI,BinaryProbable,Symbolic,Certainty,-3
56,Republican,ThinkBelieve,Symbolic,Action,-3
56,Republican,ThinkBelieve,Symbolic,Certainty,-3
57,Chickens,Directionality,Symbolic,Action,-2
57,Chickens,Directionality,Symbolic,Certainty,-3
58,Republican,BinaryProbable,Truth Dependent,Action,-1
58,Republican,BinaryProbable,Truth Dependent,Certainty,-2
59,Jesus,BinaryProbable,Truth Dependent,Action,-1
59,Jesus,BinaryProbable,Truth Dependent,Certainty,-3
60,Chickens,ThinkBelieve,Truth Dependent,Action,-3
60,Chickens,ThinkBelieve,Truth Dependent,Certainty,-3
61,Chickens,Directionality,Truth Dependent,Action,-2
61,Chickens,Directionality,Truth Dependent,Certainty,-2
62,Aliens,Directionality,Truth Dependent,Action,-3
62,Aliens,Directionality,Truth Dependent,Certainty,-2
63,Republican,ThinkBelieve,Truth Dependent,Action,-3
63,Republican,ThinkBelieve,Truth Dependent,Certainty,-3
64,Jesus,Directionality,Symbolic,Action,-2
64,Jesus,Directionality,Symbolic,Certainty,-2
65,Republican,BinaryProbable,Symbolic,Action,-2
65,Republican,BinaryProbable,Symbolic,Certainty,-2
66,AI,ThinkBelieve,Symbolic,Action,-2
66,AI,ThinkBelieve,Symbolic,Certainty,-2
67,Jesus,ThinkBelieve,Symbolic,Action,-3
67,Jesus,ThinkBelieve,Symbolic,Certainty,-3
68,Republican,BinaryProbable,Symbolic,Action,0
68,Republican,BinaryProbable,Symbolic,Certainty,1
69,Republican,Directionality,Symbolic,Action,-3
69,Republican,Directionality,Symbolic,Certainty,-3
70,Republican,BinaryProbable,Truth Dependent,Action,-2
70,Republican,BinaryProbable,Truth Dependent,Certainty,-2
71,Jesus,BinaryProbable,Truth Dependent,Action,3
71,Jesus,BinaryProbable,Truth Dependent,Certainty,-3
72,AI,Directionality,Truth Dependent,Action,1
72,AI,Directionality,Truth Dependent,Certainty,-1
73,Chickens,Directionality,Symbolic,Action,-2
73,Chickens,Directionality,Symbolic,Certainty,0
74,Jesus,ThinkBelieve,Truth Dependent,Action,3
74,Jesus,ThinkBelieve,Truth Dependent,Certainty,-3
75,Aliens,ThinkBelieve,Symbolic,Action,-2
75,Aliens,ThinkBelieve,Symbolic,Certainty,-2
76,Aliens,ThinkBelieve,Symbolic,Action,-3
76,Aliens,ThinkBelieve,Symbolic,Certainty,0
77,Republican,BinaryProbable,Symbolic,Action,0
77,Republican,BinaryProbable,Symbolic,Certainty,-1
78,AI,ThinkBelieve,Truth Dependent,Action,-2
78,AI,ThinkBelieve,Truth Dependent,Certainty,2
79,AI,BinaryProbable,Truth Dependent,Action,-1
79,AI,BinaryProbable,Truth Dependent,Certainty,-2
80,Chickens,Directionality,Symbolic,Action,-1
80,Chickens,Directionality,Symbolic,Certainty,-2
81,Republican,Directionality,Truth Dependent,Action,-2
81,Republican,Directionality,Truth Dependent,Certainty,-3
82,AI,BinaryProbable,Symbolic,Action,0
82,AI,BinaryProbable,Symbolic,Certainty,-2
83,Aliens,ThinkBelieve,Symbolic,Action,-3
83,Aliens,ThinkBelieve,Symbolic,Certainty,-3
84,Jesus,BinaryProbable,Symbolic,Action,-3
84,Jesus,BinaryProbable,Symbolic,Certainty,-2
85,Chickens,Directionality,Truth Dependent,Action,-2
85,Chickens,Directionality,Truth Dependent,Certainty,-3
86,Republican,ThinkBelieve,Truth Dependent,Action,0
86,Republican,ThinkBelieve,Truth Dependent,Certainty,-1
87,AI,BinaryProbable,Symbolic,Action,-3
87,AI,BinaryProbable,Symbolic,Certainty,-3
88,Republican,Directionality,Symbolic,Action,-3
88,Republican,Directionality,Symbolic,Certainty,-3
89,Chickens,BinaryProbable,Truth Dependent,Action,-1
89,Chickens,BinaryProbable,Truth Dependent,Certainty,-3
90,Jesus,Directionality,Symbolic,Action,-2
90,Jesus,Directionality,Symbolic,Certainty,-3
91,Republican,ThinkBelieve,Symbolic,Action,-2
91,Republican,ThinkBelieve,Symbolic,Certainty,-2
92,Republican,BinaryProbable,Truth Dependent,Action,-2
92,Republican,BinaryProbable,Truth Dependent,Certainty,-3
93,Republican,Directionality,Truth Dependent,Action,2
93,Republican,Directionality,Truth Dependent,Certainty,2
94,Jesus,BinaryProbable,Symbolic,Action,-2
94,Jesus,BinaryProbable,Symbolic,Certainty,-3
95,AI,ThinkBelieve,Symbolic,Action,-2
95,AI,ThinkBelieve,Symbolic,Certainty,-2
96,Chickens,ThinkBelieve,Truth Dependent,Action,-2
96,Chickens,ThinkBelieve,Truth Dependent,Certainty,3
97,Aliens,BinaryProbable,Truth Dependent,Action,-3
97,Aliens,BinaryProbable,Truth Dependent,Certainty,-3
98,Republican,Directionality,Symbolic,Action,-2
98,Republican,Directionality,Symbolic,Certainty,-2
99,AI,ThinkBelieve,Truth Dependent,Action,2
99,AI,ThinkBelieve,Truth Dependent,Certainty,-3
100,AI,Directionality,Truth Dependent,Action,-3
100,AI,Directionality,Truth Dependent,Certainty,-3
101,Aliens,Directionality,Truth Dependent,Action,-1
101,Aliens,Directionality,Truth Dependent,Certainty,-2
102,Republican,ThinkBelieve,Symbolic,Action,-3
102,Republican,ThinkBelieve,Symbolic,Certainty,-3
103,Chickens,Directionality,Symbolic,Action,-3
103,Chickens,Directionality,Symbolic,Certainty,-3
104,Aliens,BinaryProbable,Truth Dependent,Action,1
104,Aliens,BinaryProbable,Truth Dependent,Certainty,1
105,AI,BinaryProbable,Symbolic,Action,2
105,AI,BinaryProbable,Symbolic,Certainty,-3
