key,framing,action_type,claim_text,action_text,intro_text,alex_statement,blaine_statement,human_mean_rating,human_median_rating,human_std_rating,human_preferred_agent,human_preference_strength,n_responses,share_positive,share_negative
AI,BinaryProbable,Symbolic,Artificial intelligence will never achieve human-like consciousness,"Organized a public lecture so that people could listen to his hero, a philosopher who has gained fame for arguing that AI will never gain consciousness.",Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Artificial intelligence will never achieve human-like consciousness. Here’s what they both said:,"Alex: ""Artificial intelligence will never achieve human-like consciousness.""","Blaine: ""There’s a 98% chance that Artificial intelligence will never achieve human-like consciousness.""",-1.0,-2.0,2.086370335408023,Alex,1.0,18,0.2222222222222222,0.6111111111111112
AI,BinaryProbable,Truth Dependent,Artificial intelligence will never achieve human-like consciousness,Anonymously placed a financial bet of $1000 against a company that was recently restructured under the assumption that AI will gain consciousness.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Artificial intelligence will never achieve human-like consciousness. Here’s what they both said:,"Alex: ""Artificial intelligence will never achieve human-like consciousness.""","Blaine: ""There’s a 98% chance that Artificial intelligence will never achieve human-like consciousness.""",0.03571428571428571,1.0,2.1513500129702,Blaine,0.03571428571428571,28,0.5357142857142857,0.39285714285714285
Aliens,BinaryProbable,Symbolic,There is alien life on our galaxy,Became an avid spokesperson for the organization ‘We are not alone’ that supports alien enthusiasts all around the country.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on There is alien life on our galaxy. Here’s what they both said:,"Alex: ""There is alien life on our galaxy.""","Blaine: ""There’s a 98% chance that There is alien life on our galaxy.""",-1.2903225806451613,-2.0,2.019794517388618,Alex,1.2903225806451613,31,0.1935483870967742,0.7096774193548387
Aliens,BinaryProbable,Truth Dependent,There is alien life on our galaxy,Anonymously donated $1000 to a scientific organization investigating how to combat potential threats to humans from alien life on earth,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on There is alien life on our galaxy. Here’s what they both said:,"Alex: ""There is alien life on our galaxy.""","Blaine: ""There’s a 98% chance that There is alien life on our galaxy.""",-1.1153846153846154,-1.5,1.608152308133109,Alex,1.1153846153846154,26,0.19230769230769232,0.6538461538461539
Chickens,BinaryProbable,Symbolic,Chickens feel fear and anxiety before being sacrificed for food,Led and organized an animal rights organization’s plan to spill red paint on the clothes of the CEOs of several companies that produce poultry products.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Chickens feel fear and anxiety before being sacrificed for food. Here’s what they both said:,"Alex: ""Chickens feel fear and anxiety before being sacrificed for food.""","Blaine: ""There’s a 98% chance that Chickens feel fear and anxiety before being sacrificed for food.""",-0.7727272727272727,-2.0,2.223935126276719,Alex,0.7727272727272727,22,0.3181818181818182,0.5454545454545454
Chickens,BinaryProbable,Truth Dependent,Chickens feel fear and anxiety before being sacrificed for food,Spent $1000 on equipment that allows them to slaughter their backyard chickens more humanely.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Chickens feel fear and anxiety before being sacrificed for food. Here’s what they both said:,"Alex: ""Chickens feel fear and anxiety before being sacrificed for food.""","Blaine: ""There’s a 98% chance that Chickens feel fear and anxiety before being sacrificed for food.""",0.043478260869565216,0.0,1.718304155253218,Blaine,0.043478260869565216,23,0.43478260869565216,0.43478260869565216
Jesus,BinaryProbable,Symbolic,Jesus was born in a manger near Bethlehem,Organized and led his church’s project to take non-believers to see the holy land where Jesus was born.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Jesus was born in a manger near Bethlehem. Here’s what they both said:,"Alex: ""Jesus was born in a manger near Bethlehem.""","Blaine: ""There’s a 98% chance that Jesus was born in a manger near Bethlehem.""",-1.4583333333333333,-2.0,1.5030162910010298,Alex,1.4583333333333333,24,0.16666666666666666,0.8333333333333334
Jesus,BinaryProbable,Truth Dependent,Jesus was born in a manger near Bethlehem,Anonymously donated $1000 to an organization looking for archeological and historical evidence of the historical Jesus,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Jesus was born in a manger near Bethlehem. Here’s what they both said:,"Alex: ""Jesus was born in a manger near Bethlehem.""","Blaine: ""There’s a 98% chance that Jesus was born in a manger near Bethlehem.""",0.5217391304347826,1.0,2.0860917180523204,Blaine,0.5217391304347826,23,0.5217391304347826,0.43478260869565216
Republican,BinaryProbable,Symbolic,Republican governments are better for small businesses than Democrat governments,"Once Republicans won the elections, hosted a big “We Won!” party for all his friends and acquaintances.",Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Republican governments are better for small businesses than Democrat governments. Here’s what they both said:,"Alex: ""Republican governments are better for small businesses than Democrat governments.""","Blaine: ""There’s a 98% chance that Republican governments are better for small businesses than Democrat governments.""",-0.6129032258064516,-1.0,1.4983862286882446,Alex,0.6129032258064516,31,0.1935483870967742,0.5161290322580645
Republican,BinaryProbable,Truth Dependent,Republican governments are better for small businesses than Democrat governments,"Once Republicans won the elections, anonymously invested $1000 in small businesses.",Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Republican governments are better for small businesses than Democrat governments. Here’s what they both said:,"Alex: ""Republican governments are better for small businesses than Democrat governments.""","Blaine: ""There’s a 98% chance that Republican governments are better for small businesses than Democrat governments.""",-0.5555555555555556,-1.0,1.867399123695705,Alex,0.5555555555555556,27,0.25925925925925924,0.5925925925925926
